config_name,a_ttv,p_ttv,e_ttv,count_rate,snr_level,sde,period,depth,epoch,width,num_pts_in_transit,scenario,ttv_params,success,computation_time,lightcurve_creation_time
very_strong_long,0.02,90,-45.0,19306.97728883249,19306,108.3260269165039,3.987720223393577,-0.0003512922266963,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,66.92855978012085,0.0211281776428222
very_strong_long,0.02,90,-45.0,37275.93720314938,37275,169.36256408691406,3.987720223393577,-0.0003953120030928,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,74.63114404678345,0.0145885944366455
very_strong_long,0.02,90,-45.0,71968.56730011514,71968,188.35885620117188,3.987720223393577,-0.0003897567221429,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,73.76601076126099,0.0098283290863037
very_strong_long,0.02,90,-45.0,138949.5494373136,138949,223.5838623046875,3.987720223393577,-0.0003773469652514,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,78.14512348175049,0.0155963897705078
very_strong_long,0.02,90,-45.0,268269.57952797273,268269,238.6794891357422,3.987720223393577,-0.000376172713004,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,93.3414077758789,0.0638439655303955
very_strong_long,0.02,90,-45.0,517947.4679231202,517947,226.68911743164065,3.987720223393577,-0.0003817755205091,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,90.09443473815918,0.0406033992767334
very_strong_long,0.02,90,-45.0,1000000.0,1000000,241.48162841796875,3.987720223393577,-0.000381195830414,0.9969300627708436,0.0623081289231777,515,correct_ettv,"(90, 0.02, -45.0)",True,87.57373476028442,0.02268648147583
very_strong_long,0.02,90,-45.0,100.0,100,4.032677173614502,21.984597034422094,0.0016693476354703,13.584232330322266,0.1249124854803085,157,incorrect_ettv,"(90, 0.02, 0.0)",True,70.63602066040039,
very_strong_long,0.02,90,-45.0,193.06977288832496,193,5.621436595916748,53.89513002835318,-0.0025486941449344,38.17962265014648,0.062487106770277,41,incorrect_ettv,"(90, 0.02, 0.0)",True,69.88682866096497,
very_strong_long,0.02,90,-45.0,372.7593720314938,372,6.249273777008057,0.664903277806407,-0.0002063810534309,0.2691275179386139,0.0949861854314804,4121,incorrect_ettv,"(90, 0.02, 0.0)",True,71.91389560699463,
very_strong_long,0.02,90,-45.0,719.6856730011522,719,4.672415733337402,46.9712310784561,0.0010925645474344,40.29900360107422,0.0937549546360969,54,incorrect_ettv,"(90, 0.02, 0.0)",True,72.62044048309326,
very_strong_long,0.02,90,-45.0,1389.4954943731375,1389,18.795860290527344,3.9901308179693977,-0.0003059368464164,0.9507733583450316,0.1558644920587539,1023,incorrect_ettv,"(90, 0.02, 0.0)",True,68.37604880332947,
very_strong_long,0.02,90,-45.0,2682.6957952797247,2682,20.335729598999023,3.9868069777554154,-0.0002672122209332,0.996701717376709,0.1245877146720886,852,incorrect_ettv,"(90, 0.02, 0.0)",True,67.0404577255249,
very_strong_long,0.02,90,-45.0,5179.474679231213,5179,29.333362579345703,3.9868069777554154,-0.0002955491072498,1.027848720550537,0.0622938573360443,514,incorrect_ettv,"(90, 0.02, 0.0)",True,70.00475788116455,
very_strong_long,0.02,90,-45.0,10000.0,10000,54.3300666809082,3.988468551616938,-0.0002315455058123,0.9971171617507936,0.1246396452188491,854,incorrect_ettv,"(90, 0.02, 0.0)",True,67.73300242424011,
very_strong_long,0.02,90,-45.0,19306.97728883249,19306,78.19283294677734,3.987637678142842,-0.0002629537775646,0.9813327193260192,0.0934602543711662,682,incorrect_ettv,"(90, 0.02, 0.0)",True,77.29187345504761,
